osm_id,name,type,facility_type,lat,lon,municipality,department,country
283111979,American College,education,college,12.1365817,-86.2844507,,,Nicaragua
285891221,Universidad Nacional Agraria,education,university,12.1457473,-86.1623655,,,Nicaragua
286081223,Escuela Benito Pitito,education,school,12.1230375,-86.166122,,,Nicaragua
286971210,Universidad Hispanoamericano,education,university,12.1409404,-86.2859159,,,Nicaragua
296338228,Lincoln International Academy,education,school,12.0862993,-86.2211375,,,Nicaragua
296338475,Escuela Pierre y Marie Curie,education,school,12.0910772,-86.2224417,,,Nicaragua
300568666,Hospital Carlos Roberto Huembes filial El Carmen,health,hospital,12.1469498,-86.2839582,,,Nicaragua
301971936,,health,hospital,13.1819933,-86.092866,,,Nicaragua
413316939,GSL Spanish School,education,school,11.9323093,-85.9561245,,,Nicaragua
431253189,CENTRO DE SALUD MORAZAN,health,doctors,12.1550995,-86.302985,MANAGUA,,Nicaragua
459667988,Colegio Nórdico Internacional,education,school,12.0938857,-86.258468,,,Nicaragua
571389103,Farmacia,health,pharmacy,13.6306628,-86.4756085,,,Nicaragua
658662515,Escuela Padre Misieri,education,school,11.9370892,-85.9535786,,,Nicaragua
680527263,Farmacia Cristo Rey,health,pharmacy,12.1371284,-86.2585705,,,Nicaragua
732256268,Escuela Huellas de Jesus,education,school,12.2195844,-86.0580155,,,Nicaragua
732256657,Escuela Huellas de Dios,education,school,12.1604683,-86.2803,,,Nicaragua
784209803,Colegio Profesional Maria Auxiliadora,education,school,11.9361647,-85.9630453,,,Nicaragua
784210981,Colegio Salesiano,education,school,11.9277739,-85.9634597,,,Nicaragua
787689763,Hopital Japon-Nicaragua,health,hospital,11.9360737,-85.9753046,,,Nicaragua
806528000,Flavia,health,pharmacy,12.1072751,-85.3705025,,,Nicaragua
806528003,Esc. San Pablo,education,school,12.1046132,-85.3723323,,,Nicaragua
806528008,Cemeqsa,health,hospital,12.1052555,-85.3726721,,,Nicaragua
810037601,Centro Escolar,education,school,12.1080459,-85.3607845,,,Nicaragua
825400172,,education,school,11.93202,-85.953902,,,Nicaragua
825400173,,education,school,11.9318463,-85.9534623,,,Nicaragua
828483282,Escuela Los Carlitos,education,school,12.1072925,-85.3683423,,,Nicaragua
828483296,UPONIC,education,university,12.1086827,-85.3679488,,,Nicaragua
828483301,Farmacia El Farmaco,health,pharmacy,12.1047776,-85.3668811,,,Nicaragua
828504675,Farmacia Cristal,health,pharmacy,12.1072713,-85.3644515,,,Nicaragua
828504682,Gaby,health,pharmacy,12.1050082,-85.3649739,,,Nicaragua
828504683,Baez,health,pharmacy,12.1033637,-85.3666027,,,Nicaragua
828504684,San Ramon,health,pharmacy,12.1084148,-85.3660823,,,Nicaragua
828504685,Clinica San Ramon,health,hospital,12.1083099,-85.3660126,,,Nicaragua
838174918,UAM Universidad Americana,education,university,12.1088523,-86.2571088,,,Nicaragua
838230716,Super Porta's,health,pharmacy,12.1042993,-86.2654453,,,Nicaragua
841125385,The Notre Dame School,education,school,12.0954055,-86.2435526,,,Nicaragua
863435107,18 de Julio,education,school,12.5987137,-86.6766877,,,Nicaragua
913905987,Fidel Caldera,education,school,12.1547849,-86.3147373,,,Nicaragua
914180307,Wisconsin,education,school,12.1579444,-86.3127952,,,Nicaragua
914186968,Colegio Juan Pablo II,education,school,12.146646,-86.3099508,,,Nicaragua
914189790,Instituto Ramirez Goyena,education,school,12.1488609,-86.314398,,,Nicaragua
918847098,Farma Descuento,health,pharmacy,12.1241866,-86.2616534,,,Nicaragua
963710982,Hospital Privado,health,hospital,11.9360254,-85.9653457,,,Nicaragua
994307876,Fabretto,education,school,13.4749371,-86.5816081,,,Nicaragua
1122104774,Centro Jesus Amigo,education,school,11.9288283,-85.9488137,,,Nicaragua
1122261682,Escuela mixta el Escudo,education,school,11.9186491,-85.9655999,,,Nicaragua
1131134603,,education,school,11.917437,-85.9546735,,,Nicaragua
1132490493,Intecna,education,school,11.9435034,-85.9471917,,,Nicaragua
1135815257,Dentista ciudana,health,dentist,11.9306496,-85.9561242,,,Nicaragua
1135823032,Escuela de Maneja,education,school,11.9310064,-85.9584737,,,Nicaragua
1135823125,Bengoechea,health,pharmacy,11.9327384,-85.9550646,,,Nicaragua
1140908437,Farmacía y Clinica Vet.,health,pharmacy,11.9273831,-85.9561773,,,Nicaragua
1140913041,Jardín Infatil Campanitas,education,kindergarten,11.9279999,-85.9559456,,,Nicaragua
1140926211,,health,pharmacy,11.9291151,-85.9554907,,,Nicaragua
1142233342,Opticas Münkei,health,other:optic,11.929396,-85.9550438,,,Nicaragua
1142233493,Spanish Schools Granada,education,language_school,11.9301937,-85.9544966,,,Nicaragua
1142250625,Naturista Barret,health,pharmacy,11.9296584,-85.9553979,,,Nicaragua
1142250785,El Rosario,health,pharmacy,11.9295324,-85.955355,,,Nicaragua
1142270348,La Milagrosa,health,pharmacy,11.9326722,-85.9536668,,,Nicaragua
1143954281,Alliance Française,education,school,11.9315061,-85.9531551,,,Nicaragua
1143989028,Cyber Farmacia Interplaza,health,pharmacy,11.9307683,-85.9531462,,,Nicaragua
1143989045,La Esperanza Granada,education,kindergarten,11.9308859,-85.9518055,,,Nicaragua
